score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
8.0,comfortable stay great location very clean !,location ! friendly staff ! clean !,,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,28 August 2022,,
8.0,"Great location, close to the underground and very good choices for restaurants front desk very good.","The room was smaller than expected and felt cramped at times. the staff at the front desk were excellent, even helped us find a ManU football jersey for our grandson. We found the staff in the breakfast room less than help full, slow to bring coffee and acted like a second pot was uncalled for.",friendlier breakfast staff.,United States,Superior Double Room,5 nights ·,Couple,July 2022,28 August 2022,,
9.0,Lovely hotel staff very friendly and great location,Room was spacious and great location,,United Kingdom,Deluxe Double Room,1 night ·,Family,August 2022,27 August 2022,,
8.0,"Value for money, wonderulful staff!","quiet, great location, super friendly staff! We had a large room considering the British standards","bed way too soft, bathroom noise and cell phone alert from the neighbor was audible",Austria,Deluxe Double Room,5 nights ·,Couple,August 2022,27 August 2022,,
8.0,Very good,Location is good and convenient,It was ok,United States,Deluxe Double Room,4 nights ·,Solo traveller,August 2022,26 August 2022,,
7.0,"Comfort, good breakfast but do not forget to ask for your room to be cleaned!","Room comfortable and quiet.Breakfast very good - lots of choice but only scrambled eggs - prefer fried, poached etc.Staff very helpful.","The most odd thing was that our room was not cleaned during our stay, until we specifically requested it. I have stayed in many, many hotels in Europe, UK, America, Canada, and this is the only hotel I have come across where the room is cleaned only if you ask for it to be done. We were told we had to press a ""Clean room"" button in our room. This is OK if rather odd, but no one told us we had to this. It was not mentioned in the instructions in the room either.",United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,25 August 2022,1,
7.0,"Very attentive staff, very good location, very small rooms but horel very clean.",The breakfast was very good and the staff extra attentive,The room was extremely small.  I BOOKED A DELUXE DOUBLE.  it was very hard for two people to maneovre through the bedroom and impossible in the bathroom.  Far too small.  We are what you would say 'elderly people both with leg problems.,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2022,25 August 2022,,
9.0,Fabulous friendly hotel,"Fabulous friendly hotel, very clean, great location just 4 min walk from the tube station",Nothing,United Kingdom,Superior Double Room,1 night ·,Family,August 2022,24 August 2022,1,
9.0,Superb,The staff were excellent and looked after us so well for a special occasion. The room was perfect for us and very clean.,"There are parts of the hotel that could use a little TLC to bring it back up to a premium boutique hotel, however it certainly would not put me off staying there again.",United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,24 August 2022,,
9.0,Superb,"A good hotel, staff friendly and helpful including a good location close to Earls Court Station",Nothing disliked.,United Kingdom,Deluxe Double Room,4 nights ·,Couple,August 2022,23 August 2022,,
8.0,Would stay here again.,"Location is great, 2 minutes from Earl’s Court tube and some shops",pillows too hard.,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,August 2022,23 August 2022,,
