score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
7.0,Good,,,United Kingdom,Club Twin Room,1 night ·,Family,September 2022,1 September 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,1 September 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,1 September 2022,,
8.0,Very good,,,South Africa,Deluxe Double Room,1 night ·,Couple,August 2022,31 August 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,30 August 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Family,August 2022,30 August 2022,,
9.0,Superb,,,Indonesia,Deluxe Double Room,7 nights ·,Solo traveller,August 2022,29 August 2022,,
8.0,Very good,,,Saudi Arabia,Deluxe Double Room,1 night ·,Solo traveller,August 2022,28 August 2022,,
7.0,Good,,,United States,Deluxe Double Room,2 nights ·,Group,August 2022,27 August 2022,,
7.0,Good,,,Ireland,Superior Double Room,1 night ·,Solo traveller,August 2022,26 August 2022,,
8.0,Very good,,,Estonia,Deluxe Double Room,5 nights ·,Family,August 2022,26 August 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,26 August 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,25 August 2022,,
8.3,Very good,,,Ireland,Deluxe Double Room,1 night ·,Couple,August 2022,22 August 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,3 nights ·,Couple,July 2022,20 August 2022,,
8.0,Very good,,,Ireland,Deluxe Double Room,2 nights ·,Couple,August 2022,18 August 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,August 2022,17 August 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,17 August 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,15 August 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,15 August 2022,,
7.0,Good,,,Ireland,Deluxe Double Room,2 nights ·,Couple,August 2022,14 August 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,14 August 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,13 August 2022,,
8.0,Very good,,,Canada,Deluxe Double Room,3 nights ·,Couple,August 2022,13 August 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2022,13 August 2022,,
9.0,Superb,,,United Kingdom,Club Double Room,3 nights ·,Couple,August 2022,9 August 2022,,
8.0,Very good,,,Israel,Deluxe Twin Room,4 nights ·,Family,August 2022,8 August 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,8 August 2022,,
8.0,Very good,,,Australia,Deluxe Double Room,4 nights ·,Solo traveller,August 2022,6 August 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,August 2022,6 August 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,3 nights ·,Group,August 2022,5 August 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,June 2022,4 August 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,4 August 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,3 August 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,3 August 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Group,August 2022,2 August 2022,,
8.0,Very good,,,Jamaica,Superior Double Room,6 nights ·,Solo traveller,July 2022,1 August 2022,,
8.0,Well located hotel. Great for a stay in London.,,,Gibraltar,Superior Double Room,5 nights ·,Family,July 2022,31 July 2022,,
9.0,Superb,,,Ireland,Deluxe Double Room,2 nights ·,Family,July 2022,30 July 2022,,
8.0,Very good,,,United States,Deluxe Double Room,2 nights ·,Couple,July 2022,30 July 2022,,
8.0,Very good,,,Germany,Deluxe Double Room,4 nights ·,Couple,July 2022,30 July 2022,,
8.0,Very good,,,United Arab Emirates,Superior Double Room,5 nights ·,Family,July 2022,30 July 2022,,
7.0,Good,,,United States,Deluxe Double Room,2 nights ·,Couple,July 2022,29 July 2022,,
7.0,Good,,,Cayman Islands,Deluxe Double Room,2 nights ·,Couple,July 2022,28 July 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,5 nights ·,Couple,June 2022,28 July 2022,,
9.0,Superb,,,South Africa,Club Double Room,3 nights ·,Couple,July 2022,28 July 2022,,
8.0,Very good,,,Canada,Deluxe Twin Room,1 night ·,Family,July 2022,27 July 2022,,
7.0,Good,,,United Kingdom,Deluxe Twin Room,2 nights ·,Family,July 2022,26 July 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Group,July 2022,26 July 2022,,
9.0,Superb,,,South Africa,Club Double Room,1 night ·,Couple,July 2022,24 July 2022,,
7.0,Good,,,United Kingdom,Deluxe Twin Room,2 nights ·,Family,May 2022,22 July 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,July 2022,21 July 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Group,July 2022,21 July 2022,,
7.0,Good,,,United States,Deluxe Double Room,3 nights ·,Couple,July 2022,20 July 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,July 2022,20 July 2022,,
8.0,"Great location, very friendly and helpful staff.",,,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,July 2022,18 July 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,18 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,2 nights ·,Family,April 2022,18 July 2022,,
8.0,Very good,,,Cyprus,Deluxe Double Room,1 night ·,Couple,June 2022,18 July 2022,,
8.0,Very good,,,Germany,Deluxe Double Room,1 night ·,Solo traveller,June 2022,16 July 2022,,
9.0,Superb,,,Israel,Deluxe Twin Room,4 nights ·,Family,July 2022,16 July 2022,,
9.0,Superb,,,Zambia,Deluxe Double Room,1 night ·,Group,June 2022,15 July 2022,,
9.0,Superb,,,Bahrain,Deluxe Double Room,3 nights ·,Family,June 2022,15 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,July 2022,14 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,June 2022,13 July 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,July 2022,13 July 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,1 night ·,Couple,May 2022,12 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,2 nights ·,Couple,July 2022,12 July 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,July 2022,12 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,2 nights ·,Family,July 2022,12 July 2022,,
8.0,Very good,,,Australia,Deluxe Double Room,3 nights ·,Family,July 2022,12 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,July 2022,11 July 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Solo traveller,July 2022,11 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,11 July 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,July 2022,10 July 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,3 nights ·,Couple,July 2022,10 July 2022,,
8.0,Very good,,,Australia,Club Double Room,4 nights ·,Couple,July 2022,8 July 2022,,
9.0,Superb,,,United States,Club Twin Room,2 nights ·,Family,July 2022,7 July 2022,,
8.0,Very good,,,Hong Kong (China),Superior Double Room,4 nights ·,Solo traveller,June 2022,7 July 2022,,
7.0,Good,,,Ireland,Deluxe Double Room,2 nights ·,Family,June 2022,6 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2022,6 July 2022,,
9.0,Superb,,,United Kingdom,Club Twin Room,3 nights ·,Group,June 2022,3 July 2022,,
8.0,Very good,,,Qatar,Deluxe Double Room,8 nights ·,Group,June 2022,2 July 2022,,
9.0,Superb,,,United States,Superior Double Room,1 night ·,Family,June 2022,1 July 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,1 night ·,Family,June 2022,1 July 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,June 2022,28 June 2022,,
9.0,Superb,,,Australia,Deluxe Double Room,3 nights ·,Couple,June 2022,27 June 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,1 night ·,Family,May 2022,26 June 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,April 2022,25 June 2022,,
7.0,Good,,,United Kingdom,Deluxe Twin Room,1 night ·,Group,June 2022,25 June 2022,,
9.0,"Staff was very helpful &amp;  polite, great location, all together very good hotel",,,Israel,Deluxe Double Room,6 nights ·,Family,June 2022,23 June 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,1 night ·,Couple,June 2022,23 June 2022,,
7.0,Good,,,United Kingdom,Deluxe Twin Room,2 nights ·,Family,June 2022,23 June 2022,,
8.0,Very good,,,Saudi Arabia,Deluxe Double Room,2 nights ·,Solo traveller,June 2022,22 June 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,April 2022,20 June 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Solo traveller,June 2022,18 June 2022,,
9.0,Superb,,,Cyprus,Deluxe Double Room,2 nights ·,Solo traveller,June 2022,16 June 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,3 nights ·,Group,June 2022,16 June 2022,,
9.0,2nd visit...highly recommended.,,,United States,Superior Double Room,7 nights ·,Solo traveller,June 2022,14 June 2022,,
7.0,Good,,,United Kingdom,Deluxe Twin Room,1 night ·,Family,May 2022,12 June 2022,,
9.0,Superb,,,Ireland,Deluxe Double Room,3 nights ·,Couple,June 2022,10 June 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,June 2022,8 June 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,June 2022,8 June 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Couple,June 2022,7 June 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,4 nights ·,Couple,May 2022,7 June 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,May 2022,7 June 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,May 2022,5 June 2022,,
7.0,Good,,,United States,Superior Double Room,1 night ·,Couple,May 2022,5 June 2022,,
8.0,Very good,,,United Kingdom,Club Twin Room,4 nights ·,Family,June 2022,4 June 2022,,
9.0,Superb,,,Hong Kong (China),Superior Double Room,4 nights ·,Solo traveller,May 2022,4 June 2022,,
9.0,Superb,,,Hong Kong (China),Superior Double Room,2 nights ·,Solo traveller,June 2022,4 June 2022,,
9.0,Superb,,,Hong Kong (China),Superior Double Room,1 night ·,Solo traveller,June 2022,4 June 2022,,
8.0,Very good,,,Hong Kong (China),Deluxe Double Room,1 night ·,Solo traveller,June 2022,4 June 2022,,
7.0,Good,,,Ireland,Superior Double Room,3 nights ·,Couple,April 2022,4 June 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,3 nights ·,Couple,June 2022,2 June 2022,,
9.0,"lovely experience, staff were friendly, breakfast was lovely. location was fab!",,,United Kingdom,Deluxe Double Room,1 night ·,Couple,June 2022,2 June 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,May 2022,1 June 2022,,
9.0,Superb,,,Ireland,Superior Double Room,1 night ·,Solo traveller,May 2022,31 May 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,March 2022,31 May 2022,,
8.0,Very good,,,United Kingdom,Club Double Room,3 nights ·,Family,May 2022,31 May 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Family,May 2022,30 May 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,May 2022,29 May 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,March 2022,29 May 2022,,
8.0,Very good,,,Canada,Superior Double Room,4 nights ·,Couple,May 2022,29 May 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,May 2022,28 May 2022,,
8.0,Very convenient to Earls Court tube,,,United Kingdom,Deluxe Twin Room,1 night ·,Group,May 2022,28 May 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,May 2022,24 May 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,May 2022,23 May 2022,,
9.0,Superb,,,United Kingdom,Club Double Room,3 nights ·,Couple,May 2022,22 May 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,1 night ·,Group,May 2022,21 May 2022,,
9.0,Superb,,,United Kingdom,Deluxe Twin Room,1 night ·,Family,May 2022,20 May 2022,,
8.0,Very good,,,Norway,Deluxe Double Room,1 night ·,Solo traveller,April 2022,20 May 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,April 2022,19 May 2022,,
7.0,Good,,,Germany,Deluxe Double Room,4 nights ·,Couple,April 2022,16 May 2022,,
8.0,Very good,,,Australia,Deluxe Double Room,4 nights ·,Couple,May 2022,16 May 2022,,
9.0,Superb,,,United States,Deluxe Twin Room,6 nights ·,Family,May 2022,16 May 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Group,April 2022,15 May 2022,,
8.0,Very good,,,Australia,Club Double Room,1 night ·,Family,May 2022,14 May 2022,,
7.0,Good,,,Lebanon,Deluxe Double Room,2 nights ·,Couple,March 2022,14 May 2022,,
9.0,Superb,,,United Kingdom,Deluxe Twin Room,1 night ·,Family,May 2022,13 May 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,May 2022,12 May 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,May 2022,10 May 2022,,
8.0,Very good,,,Ireland,Superior Double Room,3 nights ·,Couple,May 2022,10 May 2022,,
8.0,Very good,,,Estonia,Deluxe Twin Room,3 nights ·,Group,May 2022,10 May 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Group,May 2022,9 May 2022,,
9.0,Superb,,,United Kingdom,Deluxe Twin Room,2 nights ·,Group,March 2022,8 May 2022,,
9.0,Superb,,,Malaysia,Superior Double Room,3 nights ·,Solo traveller,April 2022,8 May 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Couple,May 2022,7 May 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,April 2022,6 May 2022,,
8.0,Very good,,,Israel,Superior Double Room,4 nights ·,Family,April 2022,5 May 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,May 2022,5 May 2022,,
9.0,Superb,,,United Kingdom,Club Double Room,2 nights ·,Couple,May 2022,4 May 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,1 night ·,Couple,May 2022,3 May 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,May 2022,2 May 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,April 2022,27 April 2022,,
7.0,Good,,,Ireland,Superior Double Room,3 nights ·,Couple,April 2022,26 April 2022,,
9.0,Superb,,,United States,Deluxe Twin Room,6 nights ·,Group,April 2022,26 April 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Family,April 2022,25 April 2022,,
8.0,Park Grand London Kensington hotel met all my expectations. Good place to stay.,,,Poland,Deluxe Double Room,3 nights ·,Family,April 2022,24 April 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,April 2022,24 April 2022,,
9.0,Superb,,,Canada,Deluxe Double Room,5 nights ·,Couple,April 2022,23 April 2022,,
9.0,Superb,,,Canada,Superior Double Room,1 night ·,Couple,April 2022,23 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Solo traveller,April 2022,22 April 2022,,
8.0,Very good,,,United Kingdom,Club Double Room,2 nights ·,Couple,April 2022,22 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Family,April 2022,21 April 2022,,
7.0,Good,,,United Arab Emirates,Deluxe Twin Room,4 nights ·,Family,April 2022,21 April 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Solo traveller,April 2022,21 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Family,April 2022,20 April 2022,,
9.0,Really great stay in a great location,,,United Kingdom,Deluxe Twin Room,1 night ·,Family,April 2022,20 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,April 2022,19 April 2022,,
9.0,Superb,,,United Kingdom,Club Double Room,1 night ·,Couple,April 2022,19 April 2022,,
9.0,Superb,,,France,Superior Double Room,2 nights ·,Couple,March 2022,18 April 2022,,
9.0,Superb,,,Switzerland,Deluxe Twin Room,1 night ·,Family,April 2022,15 April 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Couple,April 2022,15 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,April 2022,14 April 2022,,
8.0,Very good,,,China,Superior Double Room,1 night ·,Solo traveller,February 2022,12 April 2022,,
9.0,Superb,,,United Kingdom,Club Double Room,1 night ·,Couple,February 2022,12 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,April 2022,10 April 2022,,
7.0,Good,,,South Africa,Superior Double Room,3 nights ·,Couple,April 2022,10 April 2022,,
8.0,Very good,,,Ireland,Superior Double Room,2 nights ·,Group,March 2022,8 April 2022,,
9.0,Superb,,,Ireland,Deluxe Twin Room,2 nights ·,Family,February 2022,8 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Solo traveller,March 2022,7 April 2022,,
9.0,Superb,,,United Arab Emirates,Deluxe Double Room,5 nights ·,Family,April 2022,7 April 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Group,April 2022,7 April 2022,,
9.0,Superb,,,Canada,Superior Double Room,5 nights ·,Solo traveller,April 2022,5 April 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,April 2022,5 April 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Group,April 2022,5 April 2022,,
8.0,Very good,,,Ireland,Superior Double Room,2 nights ·,Family,March 2022,4 April 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,February 2022,3 April 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,February 2022,2 April 2022,,
9.0,Superb,,,United Kingdom,Deluxe Twin Room,2 nights ·,Family,April 2022,1 April 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,March 2022,31 March 2022,,
8.0,Very good,,,Malta,Club Double Room,2 nights ·,Group,March 2022,31 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,February 2022,30 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,March 2022,30 March 2022,,
7.0,Good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,March 2022,29 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,1 night ·,Couple,March 2022,29 March 2022,,
8.0,Very good,,,United States,Deluxe Double Room,7 nights ·,Couple,December 2021,29 March 2022,,
9.0,Superb,,,United Kingdom,Deluxe Twin Room,1 night ·,Group,March 2022,28 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,March 2022,28 March 2022,,
8.0,Very good,,,United Kingdom,Club Double Room,2 nights ·,Couple,March 2022,28 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,March 2022,27 March 2022,,
9.0,Superb,,,United States,Superior Double Room,1 night ·,Group,March 2022,27 March 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,25 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Family,February 2022,25 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,25 March 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Couple,March 2022,25 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,6 nights ·,Couple,March 2022,24 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,24 March 2022,,
8.0,Very good,,,Finland,Deluxe Double Room,4 nights ·,Couple,March 2022,23 March 2022,,
9.0,Superb,,,United States,Deluxe Twin Room,4 nights ·,Family,March 2022,23 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,22 March 2022,,
7.0,Good,,,Ireland,Superior Double Room,3 nights ·,Family,March 2022,22 March 2022,,
9.0,Superb,,,United States,Superior Double Room,6 nights ·,Family,March 2022,22 March 2022,,
8.0,Very good,,,Ireland,Superior Double Room,3 nights ·,Couple,March 2022,21 March 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,21 March 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,February 2022,20 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,February 2022,20 March 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Family,February 2022,18 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Group,February 2022,17 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,March 2022,15 March 2022,,
7.0,Good,,,United Kingdom,Deluxe Twin Room,1 night ·,Group,March 2022,14 March 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,4 nights ·,Solo traveller,December 2021,14 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,January 2022,13 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,March 2022,12 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,January 2022,11 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,1 night ·,Group,March 2022,10 March 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,1 night ·,Couple,March 2022,9 March 2022,,
8.0,Very good,,,Canada,Deluxe Twin Room,4 nights ·,Couple,March 2022,9 March 2022,,
9.0,Superb,,,Brazil,Superior Double Room,3 nights ·,Couple,March 2022,8 March 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,3 nights ·,Couple,March 2022,7 March 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,2 nights ·,Family,January 2022,6 March 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,4 nights ·,Solo traveller,March 2022,5 March 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,1 night ·,Couple,March 2022,3 March 2022,,
8.0,Very good,,,Ireland,Superior Double Room,3 nights ·,Couple,February 2022,3 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,March 2022,2 March 2022,,
9.0,Superb,,,United States,Superior Double Room,3 nights ·,Couple,February 2022,2 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,March 2022,1 March 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,February 2022,1 March 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,1 March 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,February 2022,28 February 2022,,
8.0,Very good,,,United Kingdom,Club Double Room,2 nights ·,Couple,January 2022,27 February 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,3 nights ·,Couple,February 2022,27 February 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,February 2022,26 February 2022,,
7.0,Good,,,Ireland,Superior Double Room,1 night ·,Couple,February 2022,26 February 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,4 nights ·,Couple,February 2022,25 February 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,2 nights ·,Family,February 2022,24 February 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,2 nights ·,Group,February 2022,24 February 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,February 2022,23 February 2022,,
9.0,Superb,,,Poland,Deluxe Double Room,6 nights ·,Couple,February 2022,23 February 2022,,
9.0,Superb,,,Ireland,Deluxe Triple Room,3 nights ·,Family,February 2022,21 February 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,21 February 2022,,
8.0,Very good,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,February 2022,21 February 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,February 2022,21 February 2022,,
9.0,Superb,,,Nigeria,Deluxe Double Room,2 nights ·,Solo traveller,January 2022,18 February 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Family,February 2022,18 February 2022,,
8.0,Very good,,,United Kingdom,Club Double Room,2 nights ·,Couple,February 2022,17 February 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,February 2022,16 February 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,2 nights ·,Family,February 2022,16 February 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,3 nights ·,Couple,December 2021,15 February 2022,,
8.0,Very good,,,Ireland,Superior Double Room,3 nights ·,Couple,February 2022,15 February 2022,,
9.0,Superb,,,United Kingdom,Superior Double Room,1 night ·,Couple,February 2022,15 February 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Solo traveller,February 2022,14 February 2022,,
8.0,Very good,,,Singapore,Superior Double Room,3 nights ·,Couple,January 2022,14 February 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,14 February 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,14 February 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,1 night ·,Couple,February 2022,13 February 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,1 night ·,Solo traveller,February 2022,13 February 2022,,
7.0,Good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,January 2022,13 February 2022,,
8.0,Very good,,,United Kingdom,Superior Double Room,2 nights ·,Couple,February 2022,12 February 2022,,
7.0,Good,,,United States,Deluxe Double Room,4 nights ·,Solo traveller,February 2022,11 February 2022,,
9.0,Superb,,,United Kingdom,Deluxe Double Room,1 night ·,Couple,February 2022,9 February 2022,,
8.0,Very good,,,Australia,Superior Double Room,6 nights ·,Couple,January 2022,8 February 2022,,
7.0,Good,,,Ireland,Club Double Room,3 nights ·,Couple,February 2022,7 February 2022,,
8.0,Very good,,,United Kingdom,Deluxe Twin Room,4 nights ·,Group,February 2022,7 February 2022,,
7.0,Good,,,United Kingdom,Deluxe Twin Room,1 night ·,Family,February 2022,6 February 2022,,
